ATM	266177
KTV	92544
中餐	3149321
书店	58532
五金店	464816
交通出行	27993
休闲娱乐	785883
便利店	1115483
充电桩	74191
公厕	380397
公园	35780
农村信用社	83296
农贸市场	596382
加气站	8381
加油站	117897
动物园	606
咖啡	2643
商场	147006
图书馆	13859
复印店	121517
宠物店	33482
小学	191674
市场	586786
幼儿园	295107
快捷酒店	934
快递	559721
快餐	10366
手机维修	26760
招待所	37313
按摩	79259
旅游景点	295483
旅馆	260523
早点	93034
景点	2
服务区	5608
机场	1323
步行街	12505
殡仪馆	2257
汽车维修	574437
洗浴	63178
派出所	50890
火车站	9298
火锅	1212
火锅店	375407
烧烤	439850
照相馆	39504
生活服务	9260012
电影院	19791
眼镜店	116272
等级医院	84509
网吧	115282
美发店	691965
自助餐	38552
药店	587497
西餐	151290
诊所	387139
超市	1394723
足疗	122656
酒吧	65115
酒店住宿	1420388
银行	264509
风景名胜	137108
餐饮美食	9946525
驾校	71713
高铁站	233

